|Id|Result|Letter
0|0|3|D
1|1|6|G
2|2|5|F
3|3|4|E
4|4|4|E
5|5|0|A
6|6|6|G
7|7|8|I
8|8|1|B
9|9|2|C
10|10|3|D
11|11|8|I
12|12|6|G
13|13|3|D
14|14|1|B
15|15|3|D
16|16|7|H
17|17|7|H
18|18|1|B
19|19|2|C
20|20|7|H
21|21|8|I
22|22|5|F
23|23|2|C
24|24|2|C
25|25|8|I
26|26|8|I
27|27|6|G
28|28|3|D
29|29|5|F
30|30|2|C
31|31|2|C
32|32|5|F
33|33|6|G
34|34|4|E
35|35|4|E
36|36|8|I
37|37|6|G
38|38|5|F
39|39|0|A
40|40|8|I
41|41|5|F
42|42|6|G
43|43|6|G
44|44|2|C
45|45|5|F
46|46|4|E
47|47|1|B
48|48|2|C
49|49|8|I
50|50|5|F
51|51|3|D
52|52|4|E
53|53|8|I
54|54|0|A
55|55|3|D
56|56|5|F
57|57|8|I
58|58|0|A
59|59|6|G
60|60|8|I
61|61|4|E
62|62|7|H
63|63|3|D
64|64|3|D
65|65|0|A
66|66|3|D
67|67|5|F
68|68|1|B
69|69|7|H
70|70|7|H
71|71|7|H
72|72|2|C
73|73|4|E
74|74|8|I
75|75|4|E
76|76|8|I
77|77|4|E
78|78|6|G
79|79|5|F
80|80|7|H
81|81|0|A
82|82|2|C
83|83|1|B
84|84|2|C
85|85|0|A
86|86|0|A
87|87|5|F
88|88|5|F
89|89|6|G
90|90|5|F
91|91|0|A
92|92|1|B
93|93|1|B
94|94|6|G
95|95|6|G
96|96|5|F
97|97|2|C
98|98|4|E
99|99|7|H
100|100|3|D
101|101|2|C
102|102|7|H
103|103|3|D
104|104|1|B
105|105|4|E
106|106|1|B
107|107|2|C
108|108|2|C
109|109|0|A
110|110|7|H
111|111|2|C
112|112|6|G
113|113|7|H
114|114|2|C
115|115|8|I
116|116|5|F
117|117|0|A
118|118|7|H
119|119|5|F
120|120|8|I
121|121|0|A
122|122|4|E
123|123|1|B
124|124|2|C
125|125|0|A
126|126|7|H
127|127|7|H
128|128|0|A
129|129|3|D
130|130|2|C
131|131|0|A
132|132|7|H
133|133|4|E
134|134|4|E
135|135|4|E
136|136|1|B
137|137|5|F
138|138|8|I
139|139|7|H
140|140|3|D
141|141|6|G
142|142|5|F
143|143|4|E
144|144|3|D
145|145|8|I
146|146|1|B
147|147|6|G
148|148|3|D
149|149|1|B
150|150|2|C
151|151|4|E
152|152|0|A
153|153|4|E
154|154|3|D
155|155|2|C
156|156|3|D
157|157|0|A
158|158|8|I
159|159|8|I
160|160|2|C
161|161|8|I
162|162|2|C
163|163|0|A
164|164|3|D
165|165|4|E
166|166|6|G
167|167|6|G
168|168|8|I
169|169|0|A
170|170|6|G
171|171|6|G
172|172|3|D
173|173|2|C
174|174|1|B
175|175|0|A
176|176|1|B
177|177|5|F
178|178|0|A
179|179|8|I
180|180|6|G
181|181|5|F
182|182|0|A
183|183|2|C
184|184|3|D
185|185|0|A
186|186|7|H
187|187|2|C
188|188|7|H
189|189|2|C
190|190|0|A
191|191|3|D
192|192|2|C
193|193|4|E
194|194|2|C
195|195|3|D
196|196|8|I
197|197|2|C
198|198|5|F
199|199|1|B
200|200|6|G
201|201|1|B
202|202|3|D
203|203|3|D
204|204|7|H
205|205|2|C
206|206|5|F
207|207|5|F
208|208|2|C
209|209|8|I
210|210|7|H
211|211|3|D
212|212|3|D
213|213|8|I
214|214|7|H
215|215|6|G
216|216|6|G
217|217|8|I
218|218|2|C
219|219|0|A
220|220|4|E
221|221|3|D
222|222|5|F
223|223|3|D
224|224|7|H
225|225|7|H
226|226|0|A
227|227|7|H
228|228|1|B
229|229|8|I
230|230|6|G
231|231|8|I
232|232|7|H
233|233|4|E
234|234|7|H
235|235|0|A
236|236|3|D
237|237|4|E
238|238|3|D
239|239|0|A
240|240|4|E
241|241|2|C
242|242|7|H
243|243|6|G
244|244|3|D
245|245|1|B
246|246|2|C
247|247|4|E
248|248|5|F
249|249|8|I
250|250|0|A
251|251|7|H
252|252|3|D
253|253|2|C
254|254|2|C
